AccidentID,DateTime,County,WeatherCondition,RoadCondition,VehicleType,SeverityLevel,NumberOfVehicles,NumberOfInjuries,Cause,Junction,Traffic_Signal,Bump
A00031,5/5/2023 10:50,Brooklyn,Sunny,Wet,Bus,Minor,1,9,Poor Road Condition,TRUE,FALSE,FALSE
A00032,5/22/2023 19:01,Staten Island,Foggy,Wet,Bus,Minor,1,8,Drunk Driving,FALSE,FALSE,FALSE
A00033,9/13/2023 2:37,Manhattan,Rainy,Dry,Truck,Severe,2,45,Distracted Driving,FALSE,FALSE,TRUE
A00034,11/8/2023 3:06,Queens,Sunny,Dry,Car,Moderate,1,3,Drunk Driving,FALSE,FALSE,FALSE
A00035,7/22/2023 3:53,Staten Island,Foggy,Wet,Truck,Moderate,1,3,Drunk Driving,TRUE,FALSE,FALSE
A00036,7/18/2023 0:01,Staten Island,Sunny,Under Construction,Truck,Moderate,2,9,Drunk Driving,FALSE,FALSE,FALSE
A00037,11/6/2023 0:56,Queens,Sunny,Wet,Car,Moderate,2,2,Poor Road Condition,FALSE,TRUE,FALSE
A00038,6/18/2023 17:44,Manhattan,Sunny,Dry,Truck,Severe,1,3,Distracted Driving,FALSE,TRUE,FALSE
A00039,4/16/2023 4:25,Queens,Sunny,Dry,Truck,Severe,2,45,Speeding,TRUE,FALSE,FALSE
A00040,6/27/2023 1:42,The Bronx,Snowy,Under Construction,Motorcycle,Moderate,4,9,Drunk Driving,FALSE,FALSE,FALSE
A00041,9/24/2023 16:22,Brooklyn,Foggy,Wet,Motorcycle,Moderate,1,5,Speeding,FALSE,FALSE,TRUE
A00042,8/14/2023 12:04,Brooklyn,Sunny,Under Construction,Truck,Minor,1,1,Speeding,FALSE,FALSE,FALSE
A00043,3/28/2023 3:59,Staten Island,Sunny,Dry,Truck,Severe,1,0,Distracted Driving,TRUE,FALSE,FALSE
A00044,4/28/2023 21:30,Manhattan,Sunny,Under Construction,,,3,7,Drunk Driving,TRUE,FALSE,FALSE
A00045,11/30/2023 14:11,Queens,,Under Construction,Bus,Moderate,2,5,Speeding,FALSE,FALSE,FALSE
A00046,2/14/2023 21:06,Brooklyn,Foggy,Dry,Motorcycle,Moderate,2,6,Distracted Driving,FALSE,FALSE,FALSE
A00047,3/12/2023 16:48,The Bronx,Rainy,Under Construction,,Moderate,3,2,Poor Road Condition,TRUE,TRUE,FALSE
A00048,10/26/2023 17:59,Manhattan,Sunny,Wet,Truck,Severe,1,3,Drunk Driving,TRUE,FALSE,FALSE
A00049,8/12/2023 8:20,Staten Island,Rainy,Under Construction,Bus,Moderate,2,8,Speeding,FALSE,FALSE,FALSE
A00050,7/20/2023 14:40,Brooklyn,Foggy,Under Construction,Bus,Moderate,4,1,Distracted Driving,FALSE,FALSE,FALSE
A00051,6/21/2023 13:33,The Bronx,Foggy,Under Construction,Car,Moderate,3,9,Drunk Driving,FALSE,FALSE,TRUE
A00052,9/8/2023 14:37,The Bronx,Sunny,Under Construction,Motorcycle,Moderate,2,9,Distracted Driving,FALSE,FALSE,FALSE
A00053,9/7/2023 18:04,Brooklyn,Sunny,Dry,Bus,Moderate,1,6,Distracted Driving,FALSE,FALSE,FALSE
A00054,5/5/2023 4:48,Staten Island,Rainy,Dry,Bus,Moderate,1,6,Poor Road Condition,FALSE,FALSE,FALSE
A00055,1/6/2023 19:30,The Bronx,Foggy,Under Construction,Bus,Severe,2,1,Drunk Driving,FALSE,TRUE,FALSE
A00056,3/23/2023 14:07,Queens,Rainy,Dry,Car,Moderate,1,5,Drunk Driving,FALSE,FALSE,FALSE
A00057,9/19/2023 2:51,Brooklyn,Foggy,Wet,Truck,Minor,1,2,Speeding,FALSE,FALSE,FALSE
A00058,5/25/2023 16:02,The Bronx,Snowy,Under Construction,Motorcycle,Moderate,4,8,Speeding,FALSE,FALSE,FALSE
A00059,8/6/2023 10:32,Manhattan,Rainy,Dry,Truck,Severe,4,8,Distracted Driving,TRUE,FALSE,FALSE
A00060,11/11/2023 2:02,Manhattan,Rainy,Dry,Truck,Minor,2,9,Poor Road Condition,TRUE,TRUE,FALSE
A00061,7/3/2023 15:32,Manhattan,Sunny,Wet,Car,Minor,4,2,Poor Road Condition,FALSE,FALSE,FALSE
A00062,10/26/2023 10:37,Queens,Sunny,Dry,Motorcycle,Moderate,1,6,Poor Road Condition,TRUE,FALSE,FALSE
A00063,2/9/2023 2:22,The Bronx,Sunny,Dry,Truck,Minor,1,9,Poor Road Condition,TRUE,FALSE,FALSE
A00064,6/20/2023 5:42,Manhattan,Sunny,Dry,Truck,Minor,1,8,Speeding,FALSE,TRUE,FALSE
A00065,4/6/2023 11:12,Manhattan,,Wet,,Severe,1,7,Drunk Driving,FALSE,FALSE,FALSE
A00066,8/31/2023 21:36,Brooklyn,Sunny,Dry,Truck,Severe,1,5,Distracted Driving,TRUE,FALSE,FALSE
A00067,5/19/2023 5:32,Staten Island,Snowy,Wet,Truck,Moderate,2,2,Drunk Driving,TRUE,FALSE,FALSE
A00068,7/29/2023 18:35,The Bronx,Snowy,Under Construction,Truck,Severe,1,6,Drunk Driving,FALSE,FALSE,FALSE
A00069,7/11/2023 22:00,The Bronx,Sunny,Dry,Motorcycle,Moderate,1,7,Drunk Driving,FALSE,TRUE,FALSE
A00070,1/30/2023 7:36,Manhattan,Rainy,,Bus,Severe,1,1,Distracted Driving,FALSE,FALSE,FALSE
A00071,8/14/2023 2:18,Staten Island,Rainy,Under Construction,Bus,Moderate,2,0,Distracted Driving,FALSE,FALSE,FALSE
A00072,6/4/2023 9:38,Brooklyn,Rainy,,Motorcycle,Moderate,1,1,Distracted Driving,FALSE,FALSE,FALSE
A00073,4/28/2023 9:13,Queens,Foggy,Dry,Motorcycle,Moderate,2,0,Drunk Driving,TRUE,FALSE,FALSE
A00074,9/9/2023 5:52,Manhattan,Sunny,Under Construction,Truck,Minor,1,4,Drunk Driving,FALSE,TRUE,FALSE
A00075,2/1/2023 19:26,The Bronx,Snowy,,Car,Moderate,1,8,Distracted Driving,FALSE,FALSE,FALSE
A00076,7/8/2023 4:53,Staten Island,Rainy,Under Construction,,Minor,4,0,Distracted Driving,FALSE,FALSE,FALSE
A00077,6/10/2023 2:41,Queens,Sunny,Dry,Car,Minor,1,4,Drunk Driving,FALSE,TRUE,TRUE
A00078,6/14/2023 11:27,Staten Island,Snowy,Wet,Bus,Severe,1,3,Distracted Driving,FALSE,TRUE,FALSE
A00079,3/23/2023 18:43,Staten Island,Sunny,Dry,Car,Minor,1,9,Drunk Driving,FALSE,TRUE,FALSE
A00080,11/3/2023 13:34,Manhattan,,Under Construction,Motorcycle,Moderate,2,2,Speeding,FALSE,FALSE,TRUE
A00081,2/18/2023 6:10,Manhattan,Sunny,Under Construction,Car,Moderate,2,7,Speeding,FALSE,FALSE,FALSE
A00082,3/15/2023 7:26,The Bronx,Sunny,Under Construction,Car,Moderate,1,7,Speeding,TRUE,FALSE,FALSE
A00083,11/28/2023 10:42,Brooklyn,Foggy,Wet,Motorcycle,Moderate,1,6,Drunk Driving,TRUE,TRUE,FALSE
A00084,1/15/2023 14:59,Staten Island,Rainy,Under Construction,Motorcycle,Severe,1,1,Speeding,FALSE,FALSE,TRUE
A00085,8/4/2023 14:25,Queens,Foggy,Wet,Truck,Minor,1,3,Speeding,TRUE,FALSE,FALSE
A00086,8/8/2023 14:33,The Bronx,Sunny,Dry,Truck,Minor,2,5,Drunk Driving,FALSE,FALSE,FALSE
A00087,11/8/2023 6:09,Queens,Rainy,,Car,Minor,3,2,Distracted Driving,TRUE,FALSE,FALSE
A00088,1/2/2023 12:10,Staten Island,Sunny,Dry,Car,Moderate,2,7,Drunk Driving,FALSE,TRUE,FALSE
A00089,9/5/2023 17:39,Brooklyn,Foggy,Wet,Motorcycle,Moderate,1,0,Drunk Driving,FALSE,FALSE,FALSE
A00090,9/2/2023 18:23,Brooklyn,Sunny,Under Construction,Car,Moderate,1,3,Speeding,FALSE,FALSE,FALSE
A00091,11/29/2023 10:48,Manhattan,Foggy,Under Construction,Bus,Minor,2,5,Poor Road Condition,FALSE,FALSE,TRUE
A00092,6/8/2023 4:42,Queens,Foggy,Dry,Car,Severe,1,0,Distracted Driving,FALSE,TRUE,FALSE
A00093,6/5/2023 14:40,The Bronx,Sunny,Dry,Car,Moderate,2,3,Distracted Driving,FALSE,FALSE,FALSE
A00094,11/19/2023 23:11,Queens,Sunny,Dry,Car,Minor,2,9,Drunk Driving,FALSE,FALSE,FALSE
A00095,8/6/2023 22:15,Queens,Sunny,Under Construction,Motorcycle,,2,9,Drunk Driving,FALSE,FALSE,FALSE
A00096,10/28/2023 8:12,Queens,Rainy,Dry,Motorcycle,,1,45,Distracted Driving,FALSE,FALSE,FALSE
A00097,7/3/2023 11:21,Manhattan,Rainy,Dry,Car,Moderate,1,9,Poor Road Condition,FALSE,FALSE,FALSE
A00098,8/23/2023 5:18,Queens,Foggy,Wet,Car,Moderate,1,2,Distracted Driving,TRUE,FALSE,FALSE
A00099,2/7/2023 17:24,Brooklyn,Sunny,Under Construction,Motorcycle,Minor,2,9,Distracted Driving,FALSE,FALSE,FALSE
A00100,7/12/2023 12:03,The Bronx,Rainy,Under Construction,Car,Minor,1,1,Distracted Driving,TRUE,FALSE,FALSE
A00101,9/14/2023 19:45,Manhattan,Sunny,Dry,Motorcycle,Moderate,1,2,Speeding,TRUE,TRUE,FALSE
A00102,9/22/2023 1:40,Manhattan,Foggy,Under Construction,Motorcycle,Severe,1,6,Poor Road Condition,FALSE,FALSE,TRUE
A00103,8/5/2023 13:10,Queens,Sunny,Wet,Car,Moderate,1,6,Speeding,FALSE,FALSE,FALSE
A00104,7/18/2023 19:33,Queens,Sunny,Wet,Truck,Moderate,2,7,Drunk Driving,TRUE,FALSE,FALSE
A00105,5/29/2023 18:18,Brooklyn,Sunny,Wet,Truck,Severe,2,4,Drunk Driving,FALSE,FALSE,FALSE
A00106,12/2/2023 2:34,Queens,Rainy,Dry,Truck,Moderate,1,5,Distracted Driving,TRUE,FALSE,FALSE
A00107,1/14/2023 17:02,Manhattan,,,Bus,Severe,1,45,Speeding,FALSE,FALSE,FALSE
A00108,9/25/2023 13:15,Queens,Rainy,,Motorcycle,Minor,1,5,Distracted Driving,FALSE,FALSE,FALSE
A00109,6/14/2023 2:03,Queens,Foggy,Wet,Truck,Moderate,2,4,Distracted Driving,FALSE,FALSE,FALSE
A00110,12/2/2023 20:08,Queens,Snowy,Dry,Truck,Severe,1,5,Speeding,TRUE,FALSE,FALSE
A00111,3/1/2023 18:20,Brooklyn,Rainy,Wet,Motorcycle,Moderate,2,2,Poor Road Condition,FALSE,TRUE,FALSE
A00112,1/11/2023 3:36,Brooklyn,Rainy,Wet,Bus,Moderate,2,0,Poor Road Condition,FALSE,FALSE,TRUE
A00113,3/19/2023 0:13,Staten Island,,Wet,Motorcycle,Moderate,1,1,Distracted Driving,FALSE,FALSE,TRUE
A00114,9/5/2023 1:35,Manhattan,Sunny,Dry,Truck,Minor,1,6,Drunk Driving,FALSE,FALSE,FALSE
A00115,8/10/2023 21:29,Manhattan,Sunny,Dry,Bus,Moderate,1,5,Distracted Driving,TRUE,TRUE,FALSE
A00116,4/21/2023 5:17,Brooklyn,Rainy,Wet,Truck,Moderate,1,2,Drunk Driving,FALSE,FALSE,FALSE
A00117,3/10/2023 13:15,Staten Island,Sunny,Wet,Car,Moderate,2,4,Drunk Driving,TRUE,FALSE,TRUE
A00118,7/28/2023 0:57,Brooklyn,,Dry,Truck,Minor,1,9,Distracted Driving,FALSE,FALSE,FALSE
A00119,6/5/2023 21:14,Staten Island,Foggy,Dry,Car,Moderate,1,1,Distracted Driving,FALSE,FALSE,FALSE
A00120,7/21/2023 3:00,The Bronx,Sunny,Under Construction,Motorcycle,Moderate,2,4,Distracted Driving,TRUE,TRUE,FALSE
A00121,8/28/2023 20:54,The Bronx,Snowy,Dry,Bus,Minor,1,8,Drunk Driving,FALSE,FALSE,TRUE
A00122,7/18/2023 9:45,Staten Island,Rainy,,Car,Minor,2,6,Distracted Driving,TRUE,FALSE,FALSE
A00123,4/16/2023 13:15,Staten Island,Sunny,Dry,Car,Moderate,2,2,Speeding,TRUE,FALSE,TRUE
A00124,4/1/2023 16:01,Queens,Sunny,Wet,Car,,4,4,Drunk Driving,TRUE,FALSE,FALSE
A00125,7/14/2023 11:41,Staten Island,Sunny,Dry,Motorcycle,Moderate,1,4,Poor Road Condition,TRUE,FALSE,FALSE
A00126,10/13/2023 14:41,The Bronx,Sunny,,Motorcycle,Moderate,3,8,Drunk Driving,TRUE,FALSE,FALSE
A00127,2/19/2023 0:28,Queens,Foggy,Wet,Bus,Moderate,3,9,Distracted Driving,FALSE,FALSE,FALSE
A00128,4/2/2023 11:27,The Bronx,Sunny,Wet,Bus,Minor,3,9,Speeding,FALSE,FALSE,FALSE
A00129,7/18/2023 3:59,Brooklyn,Sunny,Wet,Motorcycle,Severe,4,2,Poor Road Condition,FALSE,TRUE,FALSE
A00130,11/15/2023 12:16,Staten Island,Sunny,Wet,Bus,Moderate,1,9,Drunk Driving,TRUE,FALSE,FALSE
A00131,7/14/2023 20:16,Brooklyn,Sunny,Wet,Bus,Severe,3,7,Speeding,FALSE,FALSE,FALSE
A00132,9/4/2023 12:11,The Bronx,Sunny,Wet,Motorcycle,Moderate,1,9,Distracted Driving,TRUE,FALSE,TRUE
A00133,3/5/2023 20:00,Manhattan,Snowy,Wet,Bus,Moderate,4,5,Drunk Driving,FALSE,FALSE,FALSE
A00134,1/15/2023 8:59,Brooklyn,Sunny,Under Construction,Car,Severe,2,0,Drunk Driving,TRUE,FALSE,FALSE
A00135,5/18/2023 20:00,Staten Island,Sunny,Dry,Truck,Moderate,1,7,Drunk Driving,FALSE,FALSE,TRUE
A00136,6/21/2023 21:20,Manhattan,Foggy,Wet,Motorcycle,Moderate,1,7,Drunk Driving,FALSE,FALSE,FALSE
A00137,8/7/2023 8:04,The Bronx,Foggy,Wet,Car,Severe,1,6,Drunk Driving,FALSE,FALSE,FALSE
A00138,9/10/2023 18:32,Queens,Foggy,Under Construction,Bus,Minor,2,6,Speeding,FALSE,FALSE,FALSE
A00139,6/2/2023 8:01,Manhattan,Sunny,Wet,Motorcycle,Moderate,1,8,Poor Road Condition,FALSE,FALSE,FALSE
A00140,4/6/2023 10:40,Queens,Sunny,Dry,Bus,Moderate,2,2,Speeding,FALSE,FALSE,FALSE
A00141,8/27/2023 5:07,Brooklyn,,,Car,Minor,1,1,Speeding,TRUE,FALSE,FALSE
A00142,4/12/2023 0:13,The Bronx,Sunny,Wet,Car,Moderate,1,8,Distracted Driving,FALSE,FALSE,FALSE
A00143,3/21/2023 21:02,The Bronx,Sunny,Dry,Car,Moderate,1,0,Drunk Driving,TRUE,FALSE,FALSE
A00144,10/29/2023 5:49,Staten Island,Snowy,Wet,Car,Moderate,2,3,Speeding,FALSE,FALSE,FALSE
A00145,6/6/2023 9:36,The Bronx,,Dry,Bus,Moderate,2,5,Poor Road Condition,FALSE,TRUE,FALSE
A00146,9/20/2023 8:23,Brooklyn,Foggy,Under Construction,Motorcycle,,1,0,Drunk Driving,FALSE,FALSE,FALSE
A00147,11/30/2023 3:37,Brooklyn,Snowy,Wet,Bus,Minor,3,8,Poor Road Condition,TRUE,FALSE,FALSE
A00148,10/1/2023 12:38,The Bronx,Snowy,Dry,Truck,Moderate,3,7,Drunk Driving,FALSE,FALSE,FALSE
A00149,8/28/2023 13:33,Manhattan,Snowy,,Bus,,1,5,Distracted Driving,FALSE,TRUE,FALSE
A00150,10/11/2023 19:42,Staten Island,Sunny,Under Construction,Bus,Moderate,2,1,Drunk Driving,FALSE,FALSE,FALSE
A00151,2/23/2023 20:53,Brooklyn,Rainy,Dry,Motorcycle,Moderate,1,7,Distracted Driving,FALSE,FALSE,FALSE
A00152,5/22/2023 1:58,Staten Island,Sunny,Dry,Motorcycle,Moderate,1,5,Distracted Driving,FALSE,FALSE,FALSE
A00153,8/29/2023 7:48,Brooklyn,,Wet,Car,Moderate,1,1,Speeding,FALSE,FALSE,TRUE
A00154,2/11/2023 10:12,Queens,Sunny,,Car,Minor,1,4,Poor Road Condition,FALSE,TRUE,FALSE
A00155,3/31/2023 16:19,Brooklyn,Rainy,Dry,,Severe,1,3,Poor Road Condition,FALSE,FALSE,TRUE
A00156,11/9/2023 2:15,Manhattan,Foggy,Dry,Truck,Moderate,4,8,Speeding,FALSE,FALSE,FALSE
A00157,2/23/2023 10:19,Staten Island,Sunny,,Car,Minor,2,6,Drunk Driving,FALSE,FALSE,FALSE
A00158,11/18/2023 21:00,Manhattan,Sunny,Under Construction,Motorcycle,Moderate,1,8,Speeding,TRUE,TRUE,FALSE
A00159,6/30/2023 9:20,Queens,Foggy,Dry,Motorcycle,Moderate,1,6,Distracted Driving,TRUE,FALSE,FALSE
A00160,11/15/2023 19:02,Queens,Sunny,Dry,Truck,Moderate,3,4,Distracted Driving,FALSE,TRUE,FALSE
A00161,10/27/2023 19:50,The Bronx,Foggy,Dry,Bus,Moderate,1,1,Drunk Driving,TRUE,FALSE,FALSE
A00162,1/30/2023 14:19,Queens,Snowy,Dry,Truck,Moderate,3,9,Drunk Driving,TRUE,FALSE,FALSE
A00163,7/1/2023 7:35,Staten Island,Sunny,Under Construction,Car,Moderate,1,3,Distracted Driving,FALSE,FALSE,FALSE
A00164,10/15/2023 1:29,Manhattan,Sunny,Wet,Truck,Minor,2,6,Poor Road Condition,FALSE,FALSE,TRUE
A00165,11/2/2023 22:41,Manhattan,Sunny,Wet,Car,Minor,1,7,Speeding,TRUE,FALSE,TRUE
A00166,7/15/2023 15:17,Manhattan,Sunny,,Motorcycle,Severe,3,0,Drunk Driving,FALSE,TRUE,FALSE
A00167,1/18/2023 11:52,Manhattan,Rainy,Under Construction,Car,Moderate,1,0,Drunk Driving,FALSE,FALSE,FALSE
A00168,4/14/2023 12:26,Brooklyn,Sunny,Under Construction,Motorcycle,Moderate,2,2,Speeding,FALSE,FALSE,FALSE
A00169,1/14/2023 18:09,Brooklyn,Snowy,Wet,Car,Moderate,1,45,Speeding,FALSE,TRUE,FALSE
A00170,10/28/2023 6:24,The Bronx,Sunny,Under Construction,Motorcycle,Severe,1,3,Distracted Driving,TRUE,FALSE,FALSE
A00171,11/15/2023 4:33,Brooklyn,Sunny,Dry,Truck,Moderate,2,9,Distracted Driving,TRUE,FALSE,FALSE
A00172,1/13/2023 19:12,Staten Island,Snowy,Dry,Bus,Moderate,2,9,Drunk Driving,TRUE,TRUE,FALSE
A00173,1/8/2023 5:29,Manhattan,Rainy,Wet,Car,Moderate,1,4,Drunk Driving,FALSE,FALSE,FALSE
A00174,1/16/2023 3:42,Queens,Snowy,Wet,Car,Moderate,1,2,Drunk Driving,TRUE,FALSE,FALSE
A00175,9/2/2023 3:45,Brooklyn,Sunny,Under Construction,Car,,1,8,Speeding,FALSE,TRUE,FALSE
A00176,12/3/2023 7:13,The Bronx,Sunny,Wet,Motorcycle,Severe,4,1,Poor Road Condition,FALSE,FALSE,FALSE
A00177,1/2/2023 22:39,The Bronx,,Under Construction,Truck,Moderate,1,6,Poor Road Condition,TRUE,FALSE,FALSE
A00178,3/28/2023 5:37,Staten Island,Sunny,Wet,Car,Moderate,1,2,Speeding,FALSE,FALSE,FALSE
A00179,10/21/2023 5:41,Queens,Foggy,Under Construction,Bus,,3,8,Drunk Driving,TRUE,FALSE,TRUE
A00180,2/4/2023 16:32,The Bronx,Foggy,Under Construction,Car,Moderate,1,1,Speeding,FALSE,FALSE,FALSE
A00181,7/24/2023 7:00,Queens,Sunny,Under Construction,Truck,Minor,2,1,Drunk Driving,FALSE,FALSE,FALSE
A00182,4/8/2023 20:56,Manhattan,Rainy,Under Construction,Motorcycle,Moderate,1,7,Poor Road Condition,FALSE,FALSE,FALSE
A00183,8/7/2023 4:22,Manhattan,Foggy,Under Construction,Motorcycle,Severe,3,8,Speeding,FALSE,FALSE,TRUE
A00184,7/31/2023 3:51,Manhattan,Sunny,Wet,Motorcycle,Moderate,2,6,Poor Road Condition,FALSE,FALSE,FALSE
A00185,8/3/2023 5:23,The Bronx,Foggy,Under Construction,Truck,Moderate,2,5,Poor Road Condition,FALSE,FALSE,FALSE
A00186,7/10/2023 2:07,Brooklyn,Rainy,Wet,Car,Minor,2,7,Distracted Driving,FALSE,TRUE,FALSE
A00187,5/29/2023 7:14,Queens,Sunny,Under Construction,Car,Moderate,4,0,Distracted Driving,FALSE,FALSE,FALSE
A00188,2/21/2023 16:40,Queens,Sunny,Wet,Truck,Moderate,2,9,Distracted Driving,FALSE,FALSE,FALSE
A00189,4/13/2023 9:49,Queens,Sunny,Dry,Truck,Moderate,4,5,Speeding,FALSE,FALSE,TRUE
A00190,4/18/2023 3:40,Manhattan,Rainy,Dry,Bus,Moderate,2,9,Distracted Driving,FALSE,FALSE,FALSE
A00191,2/9/2023 19:24,Queens,Sunny,Wet,Bus,Severe,2,9,Speeding,FALSE,FALSE,FALSE
A00192,7/16/2023 18:50,Queens,Sunny,Dry,Car,Minor,1,2,Poor Road Condition,FALSE,FALSE,FALSE
A00193,10/30/2023 14:17,Staten Island,Sunny,Wet,Motorcycle,Moderate,2,4,Distracted Driving,FALSE,FALSE,FALSE
A00194,1/18/2023 18:58,Staten Island,Foggy,Dry,Motorcycle,Moderate,2,5,Drunk Driving,TRUE,FALSE,TRUE
A00195,8/14/2023 20:27,Manhattan,Sunny,Under Construction,Truck,,2,3,Speeding,FALSE,FALSE,FALSE
A00196,5/1/2023 21:19,Staten Island,Foggy,Dry,Truck,Severe,1,0,Drunk Driving,FALSE,FALSE,FALSE
A00197,7/4/2023 10:04,Brooklyn,Sunny,Under Construction,Truck,Moderate,1,2,Poor Road Condition,FALSE,FALSE,TRUE
A00198,1/4/2023 11:16,Staten Island,Sunny,Under Construction,Car,Moderate,2,0,Speeding,FALSE,FALSE,FALSE
A00199,3/2/2023 22:09,Staten Island,Sunny,,Bus,Moderate,1,3,Drunk Driving,TRUE,FALSE,FALSE
A00200,7/8/2023 10:40,Brooklyn,Rainy,Under Construction,,Moderate,2,1,Drunk Driving,FALSE,FALSE,FALSE
A00201,6/11/2023 17:03,Staten Island,Snowy,Dry,Motorcycle,Moderate,2,2,Drunk Driving,TRUE,FALSE,FALSE
A00202,1/21/2023 4:49,Manhattan,Sunny,Dry,Bus,Moderate,1,0,Speeding,FALSE,FALSE,FALSE
A00203,5/31/2023 9:54,Staten Island,Sunny,Under Construction,Truck,Moderate,2,8,Speeding,FALSE,FALSE,FALSE
A00204,9/27/2023 21:17,Brooklyn,Foggy,Wet,Truck,Severe,1,6,Speeding,TRUE,FALSE,FALSE
A00205,2/16/2023 6:39,Brooklyn,Snowy,,Motorcycle,Moderate,2,9,Distracted Driving,FALSE,FALSE,FALSE
A00206,5/12/2023 15:01,Manhattan,Rainy,Wet,Truck,Moderate,3,0,Poor Road Condition,TRUE,TRUE,FALSE
A00207,7/16/2023 13:13,Manhattan,Snowy,,Motorcycle,Moderate,2,1,Drunk Driving,FALSE,FALSE,FALSE
A00208,1/25/2023 15:36,Queens,Sunny,Dry,Truck,Severe,2,9,Distracted Driving,TRUE,FALSE,FALSE
A00209,6/27/2023 18:55,Staten Island,Sunny,Wet,Car,Minor,1,3,Distracted Driving,TRUE,FALSE,FALSE
A00210,5/12/2023 8:23,The Bronx,Sunny,Under Construction,Car,Moderate,1,1,Speeding,FALSE,TRUE,TRUE
A00211,11/3/2023 9:20,The Bronx,Sunny,Under Construction,Car,Minor,1,6,Drunk Driving,FALSE,FALSE,FALSE
